Date (DDMMYYYY),Date,Month,Year,DoW,Week Number,WeekYear,WeekDayNo,Financial Month,Financial Month No,Pre 2020 Menu Change Period,Post 2020 Menu Change Period,Calendar Year,Week Ending,Date&DoW,Date (DDMMYYYY),Post Apr '22 Pricing Change,Post Apr '22 Pricing Change (equiv. for 2019),Post July '22 Pricing Change,,
01/01/2018,1,1,2018,Monday,1,12018,1,January,1,,,2018,07/01/2018,"01/01, Mon",28/12,No,No,No,,
02/01/2018,2,1,2018,Tuesday,1,12018,2,January,1,,,2018,07/01/2018,"02/01, Tue",29/12,No,No,No,,
03/01/2018,3,1,2018,Wednesday,1,12018,3,January,1,,,2018,07/01/2018,"03/01, Wed",30/12,No,No,No,,
04/01/2018,4,1,2018,Thursday,1,12018,4,January,1,,,2018,07/01/2018,"04/01, Thu",31/12,No,No,No,,
05/01/2018,5,1,2018,Friday,1,12018,5,January,1,,,2018,07/01/2018,"05/01, Fri",01/01,No,No,No,,
06/01/2018,6,1,2018,Saturday,1,12018,6,January,1,,,2018,07/01/2018,"06/01, Sat",02/01,No,No,No,,
07/01/2018,7,1,2018,Sunday,1,12018,7,January,1,,,2018,07/01/2018,"07/01, Sun",03/01,No,No,No,,
08/01/2018,8,1,2018,Monday,2,22018,1,January,1,,,2018,14/01/2018,"08/01, Mon",04/01,No,No,No,,
09/01/2018,9,1,2018,Tuesday,2,22018,2,January,1,,,2018,14/01/2018,"09/01, Tue",05/01,No,No,No,,
10/01/2018,10,1,2018,Wednesday,2,22018,3,January,1,,,2018,14/01/2018,"10/01, Wed",06/01,No,No,No,,
11/01/2018,11,1,2018,Thursday,2,22018,4,January,1,,,2018,14/01/2018,"11/01, Thu",07/01,No,No,No,,
12/01/2018,12,1,2018,Friday,2,22018,5,January,1,,,2018,14/01/2018,"12/01, Fri",08/01,No,No,No,,
13/01/2018,13,1,2018,Saturday,2,22018,6,January,1,,,2018,14/01/2018,"13/01, Sat",09/01,No,No,No,,
14/01/2018,14,1,2018,Sunday,2,22018,7,January,1,,,2018,14/01/2018,"14/01, Sun",10/01,No,No,No,,
15/01/2018,15,1,2018,Monday,3,32018,1,January,1,,,2018,21/01/2018,"15/01, Mon",11/01,No,No,No,,
16/01/2018,16,1,2018,Tuesday,3,32018,2,January,1,,,2018,21/01/2018,"16/01, Tue",12/01,No,No,No,,
17/01/2018,17,1,2018,Wednesday,3,32018,3,January,1,,,2018,21/01/2018,"17/01, Wed",13/01,No,No,No,,
18/01/2018,18,1,2018,Thursday,3,32018,4,January,1,,,2018,21/01/2018,"18/01, Thu",14/01,No,No,No,,
19/01/2018,19,1,2018,Friday,3,32018,5,January,1,,,2018,21/01/2018,"19/01, Fri",15/01,No,No,No,,
20/01/2018,20,1,2018,Saturday,3,32018,6,January,1,,,2018,21/01/2018,"20/01, Sat",16/01,No,No,No,,
21/01/2018,21,1,2018,Sunday,3,32018,7,January,1,,,2018,21/01/2018,"21/01, Sun",17/01,No,No,No,,
22/01/2018,22,1,2018,Monday,4,42018,1,January,1,,,2018,28/01/2018,"22/01, Mon",18/01,No,No,No,,
23/01/2018,23,1,2018,Tuesday,4,42018,2,January,1,,,2018,28/01/2018,"23/01, Tue",19/01,No,No,No,,
